,socname,phylo,men,women,cultural,polygamy,ordinal,nsp,wives,stress,stress2,fcont1,fcontmean,hunt,fish,gather,hunt2,fish2,gather2,plow,timesub,submode,submode2,mort,density,assfreq,femarr,maggr,intwar,proxi,ineq,strat,temp,lati,hemi,region,clim
44,Hebrews,Hebrews,NA,NA,5,3,4,1,NA,13,2,8,1,2,1,0,4,2,2,1,NA,12,1,NA,7,NA,NA,NA,7,3,NA,5,20,32,1,2,2
45,Babylonians,Babylonians,NA,NA,2,3,3,0,NA,13,2,0,0,0,2,0,2,3,1,1,NA,12,1,NA,7,NA,NA,NA,NA,NA,NA,5,23,32,1,2,2
46,Rwala Bedouin,Rwala_Bedouin,NA,NA,5,4,4,1,NA,12,2,10,1,1,0,1,3,1,2,0,NA,6,4,4.5,2,7,NA,NA,17,2,NA,2,18,33,1,2,2
47,Turks,Turks,3,6,2,3,3,0,1.031914894,12,2,0,3,0,0,0,1,1,2,1,3,12,1,0,5,9,5,1,1,3,NA,5,13,38,1,2,2
48,Gheg Albanians,Gheg_Albanians,24,41,5,4,5,1,1.288135593,11,2,40,5,0,0,0,3,2,2,1,NA,12,1,6,5,9,6,NA,15,NA,NA,2,15,42,1,2,4
49,Romans,Romans,0,0,1,2,3,NA,1,11,2,0,0,0,2,0,1,2,1,1,NA,12,1,NA,7,NA,6,3,1,3,NA,5,15,42,1,2,4
50,Basques,Basques,0,0,1,2,2,0,1,9,1,23,3,0,2,0,3,2,2,1,NA,12,1,NA,4,NA,NA,NA,1,3,NA,5,12,43,1,2,4
51,Irish,Irish,0,0,1,2,2,0,1,9,1,23,3,1,0,0,1,2,1,1,2,12,1,NA,5,NA,5,2,1,2,NA,5,10,53,1,2,4
52,Lapps,Lapps,0,0,1,2,2,0,1,7,1,40,5,2,2,0,3,3,2,0,NA,6,4,0,3,1,2,NA,1,4,NA,2,-1,67,1,2,1
53,Yurak Samoyed,Yurak_Samoyed,0,0,2,3,3,0,1,7,1,0,2,3,3,0,3,3,2,0,2,6,4,2,1,3,6,NA,7,NA,3,2,-8,67,1,3,1
54,Russians,Russians,0,0,1,2,2,NA,1,10,2,25,4,0,0,0,1,2,2,1,NA,12,1,6,4,9,NA,NA,17,4,NA,5,0,52,1,2,4
55,Abkhaz,Abkhaz,NA,NA,3,3,4,NA,NA,11,2,NA,2,0,0,1,3,2,2,1,2,6,1,NA,5,NA,5,1,17,1,NA,5,NA,NA,NA,2,4
56,Armenians,Armenians,0,0,1,2,2,0,1,11,2,30,3,0,0,0,NA,NA,NA,1,NA,11,1,NA,5,NA,NA,NA,NA,3,NA,5,6,40,1,2,4
57,Kurd,Kurd,4,7,3,3,4,0,1.032258065,14,2,23,3,0,1,0,3,2,1,1,1,12,1,NA,6,3,5,1,7,NA,NA,3,24,31,1,2,4
58,Basseri,Basseri,NA,NA,4,3,4,0,NA,11,2,NA,3,1,0,0,3,1,2,0,NA,6,4,NA,3,NA,6,NA,NA,NA,NA,2,18,30,1,3,2
59,Punjabi (West),Punjabi_West,0,0,1,2,4,NA,1,13,2,5,1,0,0,0,3,2,1,1,1,12,1,6,6,9,NA,3,10,3,NA,5,24,31,1,3,2
60,Gond,Gond,NA,NA,NA,4,4,0,NA,16,2,45,3,1,0,2,3,2,3,0,NA,8,3,0,4,1,1,NA,1,NA,NA,2,27,21,1,3,5
61,Toda,Toda,1,1,2,1,1,0,1,15,2,10,1,0,0,1,1,1,3,0,1,6,4,0,5,1,5,NA,1,3,NA,1,24,13,1,3,5
62,Santal,Santal,2,4,2,3,3,0,1.020833333,15,2,38,3,1,1,0,3,2,2,1,NA,12,1,0,6,NA,5,NA,1,3,NA,1,25,24,1,3,5
63,Uttar Pradesh,Uttar_Pradesh,NA,NA,2,3,4,NA,NA,15,2,0,2,0,0,0,1,2,2,1,1,12,1,NA,7,5,NA,3,3,4,NA,5,25,25,1,3,4
64,Burusho,Burusho,NA,NA,2,3,NA,0,NA,11,2,30,2,0,0,0,1,1,2,1,NA,12,1,0,3,1,5,NA,1,3,NA,5,15,28,1,3,4
65,Kazak,Kazakh,10,18,4,4,5,1,1.097560976,11,2,25,2,1,0,0,3,2,1,0,NA,6,4,NA,3,5,5,1,13,4,NA,4,9,45,1,3,2
66,Khalka Mongols,Khalka_Mongols,0,0,1,2,2,0,1,7,1,40,5,1,0,0,3,2,2,1,NA,6,4,4.75,3,3,NA,NA,9,3,NA,4,-8,66,1,3,2
67,Lolo,Lolo,3,5,4,3,3,0,1.021052632,12,2,45,4,1,0,0,3,2,NA,1,2,12,1,2.75,3,6,4,2,15,4,NA,4,4,29,1,3,4
68,Lepcha,Lepcha,21,35,2,3,4,0,1.215384615,12,2,45,5,1,0,0,3,2,3,1,NA,12,1,0,5,1,5,NA,1,4,NA,2,1,28,1,3,2
69,Garo,Garo,9,17,4,3,3,0,1.096385542,17,3,50,4,0,1,0,NA,1,2,0,2,7,3,0,5,5,3,3,1,4,NA,2,24,27,1,3,3
70,Lakher,Lakher,NA,NA,2,2,3,0,NA,16,2,35,4,2,1,0,3,2,2,0,NA,7,3,3,4,1,4,NA,4,3,NA,4,25,23,1,3,3
71,Burmese,Burmese,0,0,1,2,3,0,1,16,2,20,2,0,0,0,3,3,2,1,2,12,1,6,6,9,2,3,17,3,NA,5,27,20,1,3,5
72,Lamet,Lamet,NA,NA,2,4,3,0,NA,11,2,45,4,2,0,1,4,2,2,0,NA,7,3,NA,1,NA,NA,NA,NA,NA,NA,2,20,23,1,3,5
73,Vietnamese,Vietnamese,NA,NA,3,3,5,1,NA,14,2,NA,2,0,2,0,3,3,2,1,2,12,1,6,7,9,5,NA,17,4,NA,5,25,17,1,3,4
74,Rhade,Rhade,NA,NA,2,2,NA,0,NA,14,2,25,3,1,0,0,NA,2,2,0,NA,8,3,5,7,5,NA,NA,6,3,NA,2,27,13,1,3,5
75,Khmer,Khmer,NA,NA,4,3,3,0,NA,14,2,NA,4,0,2,1,3,3,2,1,2,12,1,NA,5,1,5,3,5,4,NA,5,NA,NA,NA,3,5
76,Siamese,Siamese,1,2,2,3,3,0,1.010204082,14,2,25,3,0,1,0,1,3,2,1,NA,12,1,NA,6,NA,4,NA,NA,3,NA,5,28,16,1,3,5
77,Semang,Semang,1,2,2,3,3,0,1.010204082,14,2,20,3,3,3,4,4,2,4,0,2,1,7,0,1,1,2,1,1,4,1,1,18,5,1,3,3
78,Nicobarese,Nicobarese,0,0,2,3,2,0,1,8,1,33,4,1,2,1,3,3,2,0,NA,9,2,NA,5,1,2,NA,1,4,NA,1,28,7,1,3,3
79,Andamanese,Andamanese,0,0,1,2,3,0,1,13,2,50,4,2,4,4,4,4,3,0,2,3,6,NA,3,5,2,2,13,4,1.5,1,26,12,1,3,3
80,Vedda,Vedda,0,0,1,2,2,0,1,13,2,20,1,3,3,4,5,2,3,0,NA,2,7,0,1,1,6,NA,1,4,1,1,28,8,1,3,3
81,Tanala,Tanala,31,52,5,3,5,1,1.4375,17,3,35,4,0,2,0,3,2,2,0,1,11,1,NA,3,3,4,1,9,3,NA,4,25,21,2,3,3
82,Negri Sembilan,Negri_Sembilan,NA,NA,4,3,4,NA,NA,12,2,70,6,0,1,0,2,3,2,0,NA,12,1,NA,7,NA,6,NA,10,3,NA,3,24,20,1,3,3
83,Javanese,Javanese,2,4,3,3,3,0,1.020833333,14,2,45,4,0,0,0,1,1,1,1,2,12,1,NA,7,NA,6,3,17,3,NA,5,25,7,2,4,3
84,Balinese,Balinese,18,35,4,2,4,0,1.261538462,12,2,15,1,0,0,0,3,2,NA,1,NA,12,1,NA,7,3,1,NA,17,4,NA,5,26,7,2,4,5
85,Iban,Iban,0,0,1,2,2,0,1,9,1,40,4,0,2,0,3,2,2,0,2,7,3,0,4,NA,2,2,1,NA,NA,2,27,2,1,4,3
86,Badjau,Badjau,0,0,1,3,2,NA,1,11,2,35,4,0,8,0,1,5,1,0,NA,3,6,NA,1,1,NA,NA,1,4,2,2,27,6,1,4,3
87,Toradja,Toradja,NA,NA,3,3,3,0,NA,16,2,NA,5,2,0,0,4,2,2,0,2,7,3,NA,4,NA,NA,2,13,2,NA,2,26,5,2,4,3
88,Tobelorese,MISSING_Tobelorese,0,0,1,2,2,0,1,13,2,NA,5,1,2,1,3,3,2,0,NA,7,3,NA,4,NA,NA,NA,NA,3,NA,2,27,2,1,4,3
89,Alorese,Alorese,27,44,4,3,4,0,1.303571429,15,2,68,7,0,0,2,3,2,2,0,3,7,3,0,7,9,2,2,1,4,NA,2,28,8,2,4,5
90,Tiwi,Tiwi,70,90,5,4,5,1,3,12,2,60,5,3,2,5,4,3,4,0,NA,1,7,2.5,2,9,6,NA,11,4,2,1,28,12,2,4,5
91,Aranda,Aranda,60,78,5,4,5,0,1.818181818,9,1,60,5,4,0,6,5,2,3,0,3,1,7,NA,2,NA,6,NA,NA,3,1,1,21,23,2,4,2
92,Orokaiva,Orokaiva,5,10,4,3,3,0,1.055555556,14,2,53,5,1,2,1,3,2,2,0,NA,9,2,NA,3,1,4,NA,17,4,NA,1,27,9,2,4,3
93,Kimam,MISSING_Kimam,15,30,2,3,4,0,1.214285714,11,2,33,4,1,1,2,3,2,3,0,2,11,1,0,2,4,6,2,1,NA,NA,1,27,9,2,4,3
